scene_index,scene_text,topic,file,title,author,src,license_name,license_url,width,height,blip_caption,best_clip_sim,scene_relevance_score,face_best_distance,face_count,reason
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\001.jpg,"
First Day Cover commemorating Albert Einstein",ArtCraft,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/First_Day_Cover_commemorating_Albert_Einstein_-_DPLA_-_248ea8cdab2d6f31c594ca0a08d119b1.jpg/2200px-First_Day_Cover_commemorating_Albert_Einstein_-_DPLA_-_248ea8cdab2d6f31c594ca0a08d119b1.jpg,Public domain,,1280,720,an envelope with a stamp on it,0.2728530168533325,0.08167225867509842,,0,"no_face_scene_ok(clip=0.273,scene=0.08,cap_ok=False,person_page=False)"
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\002.jpg,Swirling Chaos,Devanand Student,https://upload.wikimedia.org/wikipedia/commons/2/2b/Swirling_Chaos.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,1280,720,a black and white photo of a circular object,0.22609390318393707,0.18307118117809296,,0,"no_face_scene_ok(clip=0.226,scene=0.18,cap_ok=False,person_page=False)"
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\003.jpg,"An aerial view of Albert Park Lake with Melbourne skyline in the background, Australia.",Pat Whelen,https://images.pexels.com/photos/5766208/pexels-photo-5766208.jpeg,Pexels,https://www.pexels.com/,1280,720,a view of a city from a high angle,0.1782357096672058,0.11946269124746323,,0,"no_face_scene_ok(clip=0.178,scene=0.12,cap_ok=False,person_page=False)"
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\004.jpg,"
Paraguayan postage stamp commemorating Albert Einstein","Mosdossy, Imre von, 1904-1995; Thomas De La Rue &amp; Company",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Paraguayan_postage_stamp_commemorating_Albert_Einstein_-_DPLA_-_aa7e119b611dd3b6eb9f30de4d11e94f.jpg/2200px-Paraguayan_postage_stamp_commemorating_Albert_Einstein_-_DPLA_-_aa7e119b611dd3b6eb9f30de4d11e94f.jpg,Public domain,,1280,720,a stamp with a picture of albert einstein,0.2840759754180908,0.547066330909729,,0,"no_face_scene_ok(clip=0.284,scene=0.55,cap_ok=False,person_page=False)"
-1,,albert-einstein-einstein-imagination-questions,assets\images\albert-einstein-einstein-imagination-questions\005.jpg,"Close-up of the golden statue of Prince Albert at the Albert Memorial in Kensington Gardens, London.",Balint Koban,https://images.pexels.com/photos/34164342/pexels-photo-34164342.jpeg,Pexels,https://www.pexels.com/,1280,720,a statue of a man holding a book,0.2107914686203003,0.0,,0,"no_face_scene_ok(clip=0.211,scene=0.00,cap_ok=False,person_page=False)"
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\006.jpg,Home Albert Einstein 1895 Memorial,"Photo: Saippuakauppias, 2007",https://upload.wikimedia.org/wikipedia/commons/a/a2/Home_Albert_Einstein_1895_Memorial.jpg,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,1280,720,a plaque on the side of a building,0.3051641881465912,0.08973611146211624,,0,"no_face_scene_ok(clip=0.305,scene=0.09,cap_ok=False,person_page=False)"
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\007.jpg,Albert-Einstein-1879-1955--amp--Theory-of-Relativity,E.Caracentev,https://upload.wikimedia.org/wikipedia/commons/1/14/Albert-Einstein-1879-1955--amp--Theory-of-Relativity.jpg,Public domain,,1280,720,romania - circae stamp with portrait of the writer and writer,0.2947043180465698,0.1668694168329239,,0,"no_face_scene_ok(clip=0.295,scene=0.17,cap_ok=False,person_page=False)"
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\008.jpg,Scenic aerial view of Melbourne skyline with Albert Park and the river in foreground.,Pat Whelen,https://images.pexels.com/photos/5766205/pexels-photo-5766205.jpeg,Pexels,https://www.pexels.com/,1280,720,a view of a city from a high angle,0.17237551510334015,0.11946269124746323,,0,"no_face_scene_ok(clip=0.172,scene=0.12,cap_ok=False,person_page=False)"
-1,,albert-einstein-his-own-way,assets\images\albert-einstein-his-own-way\009.jpg,"casting horn, image, statue, art, albert mol, bronze, bronze statue, face, culture",Michel_van_der_Vegt,https://pixabay.com/get/ga76278e0cf632a94adde8e5f38f1232f5a63a39ce53ebd5767f37d095f2b6ce42021d724abfadabbb872044e90fe4cbb1059925b79822f79d26bccfc3358f965_1280.jpg,Pixabay,https://pixabay.com/,1280,720,a statue of a man with a beard and a beard,0.24307429790496826,0.0,,0,"no_face_scene_ok(clip=0.243,scene=0.00,cap_ok=False,person_page=False)"
0,"Imagine a young child sitting alone in a busy classroom, ignored by his classmates and misunderstood",scene_000_einstein,assets\images\scene_000_einstein\010.jpg,"brasov, imagine, ansamblu, brasov, brasov, brasov, brasov, brasov",panaiteminodora,https://pixabay.com/get/ge00275d8a422395d0959854768bd296d1fb3a77565a1281c0337e868a374b797b060caa923c6c36af436ece6128031014813bbd1f97475dfffa221d9db8e46b0_1280.jpg,Pixabay,https://pixabay.com/,1280,720,a city square with many buildings and people,0.18160249292850494,0.007906248793005943,,0,"no_face_scene_ok(clip=0.182,scene=0.01,cap_ok=False,person_page=False)"
